DÍA DE LA SEMANA,HORA DEL DÍA,CONSUMO,SALIDA DE LA RED
7.000000,14.000000,0.437670,0.437724
7.000000,15.000000,0.430300,0.439363
7.000000,16.000000,0.420000,0.428388
7.000000,17.000000,0.422300,0.417530
7.000000,18.000000,0.454370,0.426559
7.000000,19.000000,0.484330,0.472227
7.000000,20.000000,0.534000,0.493554
7.000000,21.000000,0.548000,0.556233
7.000000,22.000000,0.538330,0.548063
7.000000,23.000000,0.501000,0.536770
7.000000,24.000000,0.480000,0.479932
