1,1,0.41000
1,2,0.36300
1,3,0.34297
1,4,0.32930
1,5,0.32930
1,6,0.36833
1,7,0.45763
1,8,0.55497
1,9,0.59667
1,10,0.71897
1,11,0.77433
1,12,0.78863
1,13,0.79103
1,14,0.74370
1,15,0.71867
1,16,0.73600
1,17,0.76497
1,18,0.79137
1,19,0.83333
1,20,0.81133
1,21,0.78533
1,22,0.66667
1,23,0.66300
1,24,0.60267
2,1,0.53497
2,2,0.47963
2,3,0.45437
2,4,0.45197
2,5,0.44797
2,6,0.46300
2,7,0.52330
2,8,0.59167
2,9,0.67267
2,10,0.73000
2,11,0.77863
2,12,0.78767
2,13,0.77863
2,14,0.71867
2,15,0.69330
2,16,0.72170
2,17,0.75170
2,18,0.78903
2,19,0.82567
2,20,0.81033
2,21,0.78467
2,22,0.73667
2,23,0.56950
2,24,0.56667
3,1,0.55433
3,2,0.48963
3,3,0.46300
3,4,0.45837
3,5,0.45370
3,6,0.47133
3,7,0.53467
3,8,0.60030
3,9,0.69130
3,10,0.74337
3,11,0.78830
3,12,0.79967
3,13,0.78600
3,14,0.73333
3,15,0.70770
3,16,0.72497
3,17,0.73497
3,18,0.77830
3,19,0.82133
3,20,0.79267
3,21,0.80467
3,22,0.66800
3,23,0.61940
3,24,0.56903
4,1,0.57663
4,2,0.50530
4,3,0.47733
4,4,0.46437
4,5,0.46343
4,6,0.47700
4,7,0.53800
4,8,0.60567
4,9,0.69963
4,10,0.74200
4,11,0.79367
4,12,0.79137
4,13,0.76737
4,14,0.71530
4,15,0.68603
4,16,0.69363
4,17,0.72170
4,18,0.74600
4,19,0.76067
4,20,0.71800
4,21,0.70067
4,22,0.66500
4,23,0.63467
4,24,0.61967
5,1,0.57097
5,2,0.48563
5,3,0.44870
5,4,0.42933
5,5,0.41103
5,6,0.37703
5,7,0.38567
5,8,0.39000
5,9,0.40463
5,10,0.44567
5,11,0.49030
5,12,0.52467
5,13,0.53170
5,14,0.52570
5,15,0.52097
5,16,0.51067
5,17,0.51467
5,18,0.54600
5,19,0.57700
5,20,0.58267
5,21,0.59737
5,22,0.61070
5,23,0.62067
5,24,0.59767
6,1,0.57100
6,2,0.42737
6,3,0.39400
6,4,0.37400
6,5,0.36537
6,6,0.36863
6,7,0.39033
6,8,0.42503
6,9,0.47070
6,10,0.51500
6,11,0.57033
6,12,0.58033
6,13,0.57097
6,14,0.54000
6,15,0.51900
6,16,0.52770
6,17,0.54170
6,18,0.54170
6,19,0.63167
6,20,0.63467
6,21,0.64367
6,22,0.64533
6,23,0.65267
6,24,0.58267
7,1,0.47133
7,2,0.44200
7,3,0.40830
7,4,0.40797
7,5,0.37467
7,6,0.33970
7,7,0.33297
7,8,0.33297
7,9,0.32633
7,10,0.33833
7,11,0.37570
7,12,0.40903
7,13,0.43167
7,14,0.43767
7,15,0.43030
7,16,0.42000
7,17,0.42230
7,18,0.45437
7,19,0.48433
7,20,0.53400
7,21,0.54800
7,22,0.53833
7,23,0.50100
7,24,0.48000
