0,0.80000
50,0.00746
100,0.01739
150,0.05997
200,0.00987
250,0.04009
300,0.02420
350,0.01870
400,0.01754
450,0.01468
500,0.01280
550,0.01124
600,0.00479
650,0.02202
700,0.00948
750,0.01175
800,0.00118
850,0.00701
900,0.00870
950,0.00446
1000,0.01013
1050,0.01557
1100,0.01932
1150,0.02239
1200,0.02620
1250,0.03190
1300,0.03918
1350,0.04666
1400,0.05329
1450,0.05871
1500,0.06299
1550,0.06637
1600,0.06910
1650,0.07135
1700,0.07328
1750,0.07500
1800,0.07658
1850,0.07798
1900,0.07909
1950,0.07972
2000,0.07975
2050,0.07919
2100,0.07813
2150,0.07683
2200,0.07566
2250,0.07492
2300,0.07463
2350,0.07460
2400,0.07465
2450,0.07466
2500,0.07458
2550,0.07443
2600,0.07422
2650,0.07392
2700,0.07352
2750,0.07300
2800,0.07240
2850,0.07173
2900,0.07102
2950,0.07030
3000,0.06955
3050,0.06879
3100,0.06800
3150,0.06719
3200,0.06639
3250,0.06562
3300,0.06490
3350,0.06425
3400,0.06366
3450,0.06313
3500,0.06264
3550,0.06219
3600,0.06176
3650,0.06135
3700,0.06096
3750,0.06059
3800,0.06023
3850,0.05989
3900,0.05957
3950,0.05927
4000,0.05900
4050,0.05876
4100,0.05858
4150,0.05851
4200,0.05859
4250,0.05890
4300,0.05942
4350,0.06007
4400,0.06080
4450,0.06161
4500,0.06248
4550,0.06333
4600,0.06410
4650,0.06474
4700,0.06524
4750,0.06562
4800,0.06589
4850,0.06608
4900,0.06620
4950,0.06628
5000,0.06631
5050,0.06632
5100,0.06629
5150,0.06624
5200,0.06618
5250,0.06612
5300,0.06607
5350,0.06605
5400,0.06607
5450,0.06613
5500,0.06625
5550,0.06642
5600,0.06665
5650,0.06695
5700,0.06730
5750,0.06772
5800,0.06819
5850,0.06871
5900,0.06928
5950,0.06989
6000,0.07055
6050,0.07125
6100,0.07198
6150,0.07274
6200,0.07352
6250,0.07432
6300,0.07513
6350,0.07594
6400,0.07674
6450,0.07752
6500,0.07828
6550,0.07904
6600,0.07982
6650,0.08066
6700,0.08164
6750,0.08283
6800,0.08414
6850,0.08468
6900,0.08175
6950,0.02883
7000,0.01834
7050,0.01886
7100,0.01869
7150,0.01718
7200,0.01608
7250,0.01521
7300,0.01484
7350,0.01537
7400,0.01732
7450,0.02197
7500,0.01873
7550,0.01348
7600,0.01288
7650,0.01434
7700,0.01664
7750,0.02394
7800,0.03576
7850,0.04266
7900,0.04662
7950,0.04842
8000,0.04724
